Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PPDRY0R060,Polystichum californicum,California Sword-fern,CDFmm,S1 (2019),Red,G4 (2025),E,,,,Y,
PPDRY0R0B2,Polystichum imbricans ssp. imbricans,narrow-leaved sword fern,,S5 (2019),Yellow,G4T4 (2017),,,,,,
PPDRY0R0C0,Polystichum kruckebergii,Kruckeberg's holly fern,,S3S4 (2019),Yellow,G4 (2011),,,,,,
PPDRY0R0E0,Polystichum lemmonii,Lemmon's holly fern,ESSFdc,S2? (2019),Red,G4 (2011),T,1-T (2005),,,Y,
PPDRY0R0F0,Polystichum lonchitis,northern holly fern,,S5 (2019),Yellow,G5 (2019),,,,,,
PPDRY0R0H0,Polystichum munitum,sword fern,,S5 (2019),Yellow,G5 (2016),,,,,,
PPDRY0R0N0,Polystichum scopulinum,mountain holly fern,ESSFmw; IDFdk,S1S2 (2019),Red,G4 (2011),T,1-T (2006),,,Y,
PPDRY0R0P0,Polystichum setigerum,Alaska holly fern,CMA; CWHvm; CWHwh; CWHws,S3 (2019),Blue,G3 (2011),,,,,Y,
ABNJB13010,Polysticta stelleri,Steller's Eider,,SNA (2015),Accidental,G3G4 (2022),,,,,,
NFHYM0Z030,Polystictus lutescens,,,SU (2021),Unknown,GNR,,,,,,
NFHYM0Z040,Polystictus macounii,,,SU (2021),Unknown,GNR,,,,,,
IINEU08010,Polystoechotes punctatus,Giant Lacewing,,SNR,Not Reviewed,GNR,,,,,,
NBMUS9S015,Polytrichastrum alpinum var. alpinum,,,S4S5 (2011),Yellow,G5TNR,,,,,,
NBMUS9S014,Polytrichastrum alpinum var. sylvaticum,,,S3S4 (2011),Yellow,G5TNR (2012),,,,,,
NBMUS9S020,Polytrichastrum sexangulare,,,S4S5 (2022),Yellow,G4G5 (2015),,,,,,
NBMUS5T0D0,Polytrichastrum sphaerothecium,,MHmm,S2S3 (2024),Blue,G4G5T3T4 (2018),,,,,,
NBMUS5T011,Polytrichum commune var. commune,,,S4S5 (2024),Yellow,G5T5 (1991),,,,,,
NBMUS5T021,Polytrichum formosum var. densifolium,,,SNR (2011),Not Reviewed,G5TNR,,,,,,
