"","score_spatial_density","score_spatial_lastupdate","score_spatial_climfreq","score_spatial_completeness","score_spatial_modeldisagree","total","cellID"
"892",1,1,0.918793503480278,1,0.272681410731331,0.838294982842322,892
"893",1,1,0.918793503480278,1,0.347258714313835,0.853210443558823,893
"894",1,1,0.851508120649652,1,0.489609146750943,0.868223453480119,894
"895",1,1,0.923433874709977,1,0.583220863664477,0.901330947674891,895
"896",1,1,0.965197215777262,1,0.611280700417059,0.915295583238864,896
"897",1,1,0.948955916473318,1,0.617354363201186,0.913262055934901,897
"898",1,1,0.948955916473318,1,0.622549091219725,0.914301001538609,898
"899",1,1,0.835266821345708,1,0.603026042793243,0.88765857282779,899
"900",1,1,0.728538283062645,1,0.52462398638019,0.850632453888567,900
"901",1,1,0.561484918793503,1,0.386014261820192,0.789499836122739,901
"902",1,1,0.561484918793503,1,0.361642710966186,0.784625525951938,902
"903",1,1,0.728538283062645,1,0.417821739451094,0.829272004502748,903
"904",1,1,0.835266821345708,1,0.491104057450527,0.865274175759247,904
"905",1,1,0.835266821345708,1,0.548662753176137,0.876785914904369,905
"906",1,1,0.835266821345708,1,0.58073099654641,0.883199563578424,906
"907",1,1,0.835266821345708,1,0.546170056261658,0.876287375521473,907
"908",1,1,0,1,0.473026539776237,0.694605307955248,908
"909",1,1,0.303944315545244,1,0.419928098410415,0.744774482791132,909
"1026",1,1,0.368909512761021,1,0.49906243539,0.773594389630204,1026
"1027",1,1,0.368909512761021,1,0.474588375160967,0.768699577584398,1027
"1064",1,1,0.368909512761021,1,0.509858745406223,0.775753651633449,1064
"1065",1,1,0.368909512761021,1,0.480978267694142,0.769977556091033,1065
"1098",1,1,0.368909512761021,1,0.440204650876521,0.761822832727508,1098
"1099",1,1,0.368909512761021,1,0.430149464540617,0.759811795460328,1099
"1100",1,1,0.368909512761021,1,0.420021127967462,0.757786128145697,1100
"1181",1,1,0.990719257540603,1,0.58637842124597,0.915419535757315,1181
"1182",1,1,0.967517401392111,1,0.594080136650869,0.912319507608596,1182
"1183",1,1,0.946635730858469,1,0.525566379330318,0.894440422037757,1183
"1184",1,1,0.946635730858469,1,0.394146530749187,0.868156452321531,1184
